subject;stimulus;response;reactionTime
1discovery;L1_154_sent04;British;11.389710903167725
1discovery;L2_307_sent04;British;10.063927173614502
1discovery;L3_201_sent08;American;17.382842779159546
1discovery;L2_230_sent12;American;8.829591989517212
1discovery;L2_307_sent08;British;6.384097099304199
1discovery;L1_154_sent12;British;8.348870992660522
1discovery;L2_228_sent06;British;10.817296028137207
1discovery;L1_029_sent02;American;8.542064905166626
1discovery;L1_029_sent10;American;10.754433870315552
1discovery;L1_069_sent06;British;8.583327054977417
1discovery;L1_192_sent03;British;8.405241012573242
1discovery;L2_307_sent05;British;10.63697600364685
1discovery;L2_228_sent01;British;7.0484700202941895
1discovery;L2_308_sent01;American;6.150788068771362
1discovery;L1_151_sent12;American;6.9824440479278564
1discovery;L1_017_sent08;American;6.690570116043091
1discovery;L2_308_sent02;British;7.243479251861572
1discovery;L1_017_sent12;British;5.8231201171875
1discovery;L2_308_sent05;British;10.372104167938232
1discovery;L1_029_sent08;American;11.22867727279663
1discovery;L2_228_sent08;British;5.9133710861206055
1discovery;L2_230_sent02;American;7.649930000305176
1discovery;L1_017_sent10;British;7.995654821395874
1discovery;L1_151_sent02;American;6.95634913444519
1discovery;L3_201_sent06;British;10.44550609588623
1discovery;L1_017_sent01;British;6.4372029304504395
1discovery;L2_228_sent10;British;8.691938161849976
1discovery;L3_201_sent09;British;10.566478729248047
1discovery;L1_069_sent09;American;6.55907416343689
1discovery;L1_192_sent04;British;7.640700101852417
1discovery;L3_201_sent02;American;6.0654308795928955
1discovery;L3_201_sent03;American;6.419768810272217
1discovery;L1_029_sent12;American;7.110147714614868
1discovery;L1_151_sent04;American;5.771990776062012
1discovery;L2_230_sent09;American;8.175994873046875
1discovery;L3_201_sent01;British;11.913249015808105
1discovery;L1_029_sent03;American;6.493774175643921
1discovery;L1_151_sent10;American;3.296856164932251
1discovery;L1_192_sent12;British;4.5536439418792725
1discovery;L1_069_sent05;British;7.060826778411865
1discovery;L2_308_sent06;British;7.132972240447998
1discovery;L2_308_sent10;American;8.080418825149536
1discovery;L2_307_sent12;British;4.075392007827759
1discovery;L2_230_sent10;American;5.377234220504761
1discovery;L2_228_sent12;British;3.556161880493164
1discovery;L1_154_sent10;British;7.4984471797943115
1discovery;L1_192_sent10;British;4.806971788406372
1discovery;L3_201_sent05;American;7.130622863769531
1discovery;L1_029_sent05;American;9.56585693359375
1discovery;L1_192_sent08;British;4.307199001312256
1discovery;L1_154_sent01;British;8.099349975585938
1discovery;L1_069_sent04;American;7.286401033401489
1discovery;L1_192_sent05;British;8.236282110214233
1discovery;L1_069_sent08;American;5.954620838165283
1discovery;L2_228_sent05;British;10.573683023452759
1discovery;L1_151_sent03;American;4.342954158782959
1discovery;L1_154_sent06;American;12.478918075561523
1discovery;L2_230_sent04;American;3.138289213180542
1discovery;L2_307_sent01;British;2.38728404045105
1discovery;L1_192_sent06;British;4.6583092212677
1discovery;L2_308_sent03;British;4.710686922073364
1discovery;L2_307_sent10;British;4.519183158874512
1discovery;L1_151_sent05;American;3.3436238765716553
1discovery;L1_154_sent02;British;4.7285730838775635
1discovery;L1_017_sent05;American;10.39126706123352
1discovery;L1_069_sent10;American;10.947986841201782
1discovery;L1_017_sent03;British;5.8234617710113525
1discovery;L1_069_sent12;American;6.975600957870483
1discovery;L1_017_sent04;British;4.645183086395264
1discovery;L1_029_sent06;British;9.524965047836304
1discovery;L2_228_sent03;British;9.373121738433838
1discovery;L2_308_sent09;British;6.0262839794158936
1discovery;L1_017_sent09;British;6.292777061462402
1discovery;L2_228_sent04;British;3.3150389194488525
1discovery;L1_069_sent03;American;5.7863078117370605
1discovery;L1_192_sent09;British;3.783738136291504
1discovery;L1_017_sent02;American;6.907541990280151
1discovery;L1_192_sent01;British;4.1140899658203125
1discovery;L1_029_sent09;American;6.789143085479736
1discovery;L1_151_sent06;American;3.215341806411743
1discovery;L3_201_sent04;American;7.15404200553894
1discovery;L2_307_sent02;British;2.6793220043182373
1discovery;L2_230_sent01;American;7.094667911529541
1discovery;L1_069_sent01;American;7.267385959625244
1discovery;L1_069_sent02;American;6.96104097366333
1discovery;L2_307_sent09;British;6.465662002563477
1discovery;L1_154_sent09;American;10.743629217147827
1discovery;L1_029_sent01;British;6.572196006774902
1discovery;L3_201_sent12;American;7.295096158981323
1discovery;L2_228_sent09;British;3.767490863800049
1discovery;L2_308_sent12;American;3.3149733543395996
1discovery;L1_154_sent05;British;10.948144912719727
1discovery;L1_151_sent08;American;2.561964988708496
1discovery;L2_230_sent03;American;7.460539102554321
1discovery;L2_230_sent05;American;6.277431964874268
1discovery;L1_151_sent01;American;5.243120193481445
1discovery;L3_201_sent10;British;6.539994955062866
1discovery;L2_228_sent02;British;7.739621162414551
1discovery;L1_151_sent09;American;2.6484289169311523
1discovery;L2_308_sent08;British;3.75268292427063
1discovery;L1_192_sent02;British;4.772085905075073
1discovery;L2_307_sent03;British;5.719909906387329
1discovery;L1_029_sent04;British;3.636742353439331
1discovery;L1_154_sent03;British;6.188623666763306
1discovery;L1_154_sent08;British;5.664988040924072
1discovery;L2_308_sent04;British;2.9410629272460938
1discovery;L2_230_sent06;American;2.283485174179077
1discovery;L2_307_sent06;British;6.891947984695435
1discovery;L2_230_sent08;American;5.907285928726196
1discovery;L1_017_sent06;British;7.429362058639526
